date,product_name,units_sold,day_of_week,region,product_category
2023-01-01,Decorative Wreath,45,Sunday,North,Home Decor
2023-01-01,Gift Box,87,Sunday,South,Gifting
2023-01-01,LED String Lights,56,Sunday,North,Home Decor
2023-01-01,Air Conditioner (AC),118,Sunday,Central,Home Appliance
2023-01-01,Lip Balm,69,Sunday,North,Personal Care
2023-01-01,Fruit Cake,134,Sunday,North,Food
2023-01-02,Body Oil,124,Monday,Central,Personal Care
2023-01-03,Holi Colors,56,Tuesday,South,Festival Utility
2023-01-03,Thermals,95,Tuesday,Central,Clothing
2023-01-04,Sunscreen,110,Wednesday,East,Personal Care
2023-01-04,Electric Lights,124,Wednesday,South,Home Decor
2023-01-05,Scarf,125,Thursday,South,Clothing
2023-01-06,Deodorant (Dio),152,Friday,Central,Personal Care
2023-01-06,Personal Care Kit,84,Friday,West,Gifting
2023-01-06,Deodorant (Dio),87,Friday,North,Personal Care
2023-01-07,Hot Water Bag,112,Saturday,South,Healthcare
2023-01-07,Dry Fruits Box,58,Saturday,North,Gifting
2023-01-08,Thermals,123,Sunday,West,Clothing
2023-01-08,Scarf,126,Sunday,South,Clothing
2023-01-08,Modak Box,161,Sunday,South,Sweets
2023-01-08,Personal Care Kit,159,Sunday,East,Gifting
2023-01-08,Santa Hat,107,Sunday,East,Apparel
2023-01-09,Holi Colors,78,Monday,West,Festival Utility
2023-01-09,Raincoat,144,Monday,East,Rain Gear
2023-01-09,Scarf,30,Monday,North,Clothing
2023-01-09,Decorative Wreath,63,Monday,North,Home Decor
2023-01-10,Deodorant (Dio),68,Tuesday,North,Personal Care
2023-01-11,Holi Colors,76,Wednesday,Central,Festival Utility
2023-01-11,Ganesh Idol,127,Wednesday,Central,Festival Utility
2023-01-11,Banana Chips Pack,80,Wednesday,North,Snack
2023-01-11,Mosquito Net,75,Wednesday,East,Home Utility
2023-01-12,Air Conditioner (AC),86,Thursday,North,Home Appliance
2023-01-12,Water Gun (Pichkari),90,Thursday,South,Toys/Festival
2023-01-12,Cold Drink,99,Thursday,South,Beverage
2023-01-13,Agarbatti (Incense),68,Friday,Central,Spiritual Item
2023-01-13,Chocolate Box,132,Friday,East,Gifting/Sweets
2023-01-13,Kurta Pajama Set,127,Friday,West,Clothing
2023-01-13,Sugarcane Stick,88,Friday,West,Food/Festival
2023-01-14,Lip Balm,48,Saturday,West,Personal Care
2023-01-14,Thermals,81,Saturday,East,Clothing
