date,product_name,units_sold,day_of_week,region,product_category
2025-01-28,Blanket,72,Tuesday,South,Home Utility
2024-01-20,Waterproof Boots,138,Saturday,East,Footwear
2024-02-04,Rakhi Thread,118,Sunday,East,Festival Utility
2024-12-19,Sweet Box,90,Thursday,Central,Sweets
2023-04-18,Gift Boxes,95,Tuesday,North,Gifting
2025-03-24,Sweater,105,Monday,East,Clothing
2023-11-06,Raincoat,35,Monday,North,Rain Gear
2023-04-12,Modak Box,64,Wednesday,West,Sweets
2024-12-01,Gift Boxes,139,Sunday,South,Gifting
2023-04-12,Cold Drink,120,Wednesday,South,Beverage
2024-11-16,Gift Box,113,Saturday,West,Gifting
2025-03-23,Rakhi Thread,69,Sunday,Central,Festival Utility
2023-09-11,Waterproof Boots,159,Monday,South,Footwear
2023-08-20,Lip Balm,147,Sunday,North,Personal Care
2023-01-29,Water Gun (Pichkari),98,Sunday,South,Toys/Festival
2023-11-15,Fruit Cake,83,Wednesday,South,Food
2024-01-13,Chocolate Box,84,Saturday,Central,Gifting/Sweets
2024-03-13,Kurta Pajama Set,117,Wednesday,North,Clothing
2023-03-17,White Clothing,101,Friday,North,Clothing
2024-11-02,Fruit Cake,133,Saturday,South,Food
2024-12-24,Cold Drink,84,Tuesday,East,Beverage
2023-03-16,Banana Chips Pack,183,Thursday,East,Snack
2024-08-06,Fan,125,Tuesday,West,Home Appliance
2024-06-05,Water Bottle,102,Wednesday,West,Kitchen Utility
2025-02-04,Water Gun (Pichkari),84,Tuesday,North,Toys/Festival
2024-05-11,Santa Hat,105,Saturday,North,Apparel
2023-03-01,Sweet Box,152,Wednesday,North,Sweets
2024-04-07,Rangoli Colors,65,Sunday,South,Festival Utility
2024-10-24,Personal Care Kit,77,Thursday,West,Gifting
2025-06-20,Odomos (mosquito repellent),84,Friday,South,Personal Care
2024-11-08,LED String Lights,141,Friday,West,Home Decor
2023-08-09,Gift Wrapping Paper,130,Wednesday,South,Festival Utility
2024-01-09,Dry Fruits,21,Tuesday,West,Gifting
2024-07-03,Lip Balm,122,Wednesday,Central,Personal Care
2025-03-25,Decorative Wreath,134,Tuesday,North,Home Decor
2023-12-06,Sewaiya Packets,128,Wednesday,Central,Sweets
2024-08-24,Diyas (Clay Lamps),66,Saturday,West,Home Decor
2025-06-23,Dry Fruits,73,Monday,South,Gifting
2023-08-17,Body Oil,81,Thursday,East,Personal Care
2023-05-04,Fruit Cake,117,Thursday,South,Food
2023-05-01,Cold Drink,109,Monday,North,Beverage
2025-03-23,Dry Fruits,76,Sunday,East,Gifting
2023-01-12,Cold Drink,99,Thursday,South,Beverage
2024-01-28,Mosquito Net,163,Sunday,West,Home Utility
2023-05-19,Sweet Box,99,Friday,North,Sweets
2023-03-28,Fruit Cake,70,Tuesday,South,Food
2023-10-28,Odomos (mosquito repellent),117,Saturday,West,Personal Care
2024-08-11,Perfume Bottles,117,Sunday,South,Gifting
2024-09-21,Mithai Box,102,Saturday,Central,Sweets
2024-08-04,Flower Garland,120,Sunday,Central,Festival Utility
2024-04-23,Scarf,52,Tuesday,West,Clothing
2024-10-04,Rakhi Thread,87,Friday,Central,Festival Utility
2023-08-30,LED String Lights,151,Wednesday,North,Home Decor
